716877258,55,F,3,Graduate,Single,2,Existing Customer,Blue,Less than $40K,48,4,3
716878533,55,M,2,Unknown,Married,1,Existing Customer,Blue,$80K - $120K,46,4,1
716881683,45,M,5,Uneducated,Married,3,Attrited Customer,Blue,$80K - $120K,34,2,3
716882658,62,M,2,Graduate,Married,4,Existing Customer,Blue,Less than $40K,51,6,2
716890533,49,M,2,Uneducated,Married,2,Existing Customer,Blue,Less than $40K,36,6,2
716891583,41,F,3,High School,Unknown,0,Existing Customer,Blue,Less than $40K,36,5,2
716893683,55,F,3,Uneducated,Single,3,Attrited Customer,Blue,Unknown,47,4,3
716894658,49,M,1,Graduate,Divorced,2,Existing Customer,Blue,Less than $40K,44,5,2
716896833,51,M,1,Unknown,Single,4,Existing Customer,Blue,$80K - $120K,38,3,1
716899233,40,F,4,Graduate,Married,3,Existing Customer,Gold,Less than $40K,20,6,4
716900433,36,M,2,Graduate,Married,2,Attrited Customer,Blue,$60K - $80K,28,6,2
716901858,49,F,4,Doctorate,Married,2,Existing Customer,Blue,$40K - $60K,39,5,1
716905158,45,M,2,Unknown,Single,3,Existing Customer,Blue,$60K - $80K,30,3,1
716908158,42,F,3,College,Married,1,Existing Customer,Blue,Less than $40K,36,6,2
716909283,60,M,1,Post-Graduate,Single,3,Existing Customer,Blue,$80K - $120K,48,3,1
716911608,48,M,4,Graduate,Single,4,Existing Customer,Blue,$80K - $120K,36,4,1
716915133,42,F,2,Unknown,Single,4,Existing Customer,Blue,Less than $40K,36,5,3
716918508,39,M,1,College,Single,3,Existing Customer,Blue,$40K - $60K,24,4,3
716919633,58,F,1,Uneducated,Unknown,1,Existing Customer,Blue,$40K - $60K,39,5,1
716920908,52,M,4,High School,Married,0,Existing Customer,Blue,$80K - $120K,42,6,1
716922633,38,M,2,Uneducated,Single,4,Attrited Customer,Blue,$120K +,30,6,3
716924058,58,F,2,Uneducated,Married,3,Existing Customer,Blue,$40K - $60K,49,3,1
716924958,65,F,2,Graduate,Single,3,Attrited Customer,Blue,Less than $40K,56,3,0
716926758,40,F,2,Uneducated,Single,2,Existing Customer,Blue,Less than $40K,27,2,6
716929233,43,F,3,Post-Graduate,Unknown,4,Existing Customer,Blue,$40K - $60K,24,3,3
716930133,43,F,3,High School,Unknown,2,Existing Customer,Blue,Less than $40K,36,3,3
716931183,45,M,5,Uneducated,Single,4,Existing Customer,Blue,$80K - $120K,38,3,4
716932308,38,F,2,College,Married,3,Existing Customer,Blue,Unknown,28,5,1
716933283,52,F,2,High School,Single,1,Existing Customer,Gold,$60K - $80K,39,4,1
716934333,50,M,3,Uneducated,Single,4,Existing Customer,Blue,$80K - $120K,40,3,1
716938383,41,M,4,Unknown,Married,3,Existing Customer,Blue,$80K - $120K,28,3,2
716939358,43,F,3,Graduate,Divorced,4,Existing Customer,Blue,Unknown,33,6,3
716944983,61,M,0,Uneducated,Married,4,Existing Customer,Blue,$120K +,36,4,3
716947083,32,M,3,High School,Single,1,Existing Customer,Blue,$40K - $60K,36,2,2
716948283,58,M,1,College,Single,2,Attrited Customer,Blue,$80K - $120K,49,3,3
716950758,46,M,4,High School,Married,2,Attrited Customer,Blue,$60K - $80K,36,1,3
716951658,51,F,3,High School,Single,1,Existing Customer,Blue,$40K - $60K,38,5,3
716953083,53,F,2,Graduate,Married,2,Existing Customer,Blue,Unknown,41,3,2
716955783,52,M,2,Graduate,Single,2,Existing Customer,Blue,$80K - $120K,36,6,2
716959833,45,M,3,Graduate,Single,2,Existing Customer,Blue,$120K +,31,5,2
716961033,48,F,3,High School,Single,3,Existing Customer,Blue,Less than $40K,40,1,3
716961933,43,F,2,Graduate,Married,4,Existing Customer,Blue,Less than $40K,36,5,2
716963283,47,F,3,Graduate,Unknown,3,Attrited Customer,Blue,Less than $40K,38,2,2
716966808,47,M,1,Graduate,Married,3,Existing Customer,Blue,$80K - $120K,37,6,3
716968683,46,F,5,High School,Married,3,Existing Customer,Blue,Unknown,38,2,2
716971833,40,F,2,Uneducated,Married,3,Existing Customer,Blue,Unknown,29,5,3
716973333,40,M,3,Uneducated,Married,2,Existing Customer,Blue,$120K +,28,3,3
716974383,41,M,5,Graduate,Single,0,Existing Customer,Blue,$80K - $120K,28,3,2
716975583,42,F,2,Unknown,Single,3,Existing Customer,Blue,$40K - $60K,34,4,4
716977758,44,F,3,Uneducated,Married,1,Attrited Customer,Blue,Less than $40K,36,2,3
716979183,45,M,2,College,Married,2,Existing Customer,Blue,$60K - $80K,34,1,1
716981358,40,F,2,Post-Graduate,Married,0,Existing Customer,Blue,Less than $40K,32,3,3
